gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400123,2025-04-24 19:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,116,118,1610612752,Playoffs,20062,624,East First Round,Game 3,3
42400152,2025-04-23 21:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,109,94,1610612745,Playoffs,18055,215,West First Round,Game 2,2
42400102,2025-04-23 19:30,Cleveland,Cavaliers,1610612739,Miami,Heat,1610612748,121,112,1610612739,Playoffs,19432,1000144,East First Round,Game 2,2
42400112,2025-04-23 19:00,Boston,Celtics,1610612738,Orlando,Magic,1610612753,109,100,1610612738,Playoffs,19156,17,East First Round,Game 2,2
42400162,2025-04-22 22:00,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,94,85,1610612747,Playoffs,18997,1000069,West First Round,Game 2,2
42400142,2025-04-22 19:30,Oklahoma City,Thunder,1610612760,Memphis,Grizzlies,1610612763,118,99,1610612760,Playoffs,18203,1000052,West First Round,Game 2,2
42400132,2025-04-22 19:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,123,115,1610612754,Playoffs,17274,1000063,East First Round,Game 2,2
42400172,2025-04-21 22:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,102,105,1610612746,Playoffs,19989,1000046,West First Round,Game 2,2
42400122,2025-04-21 19:30,New York,Knicks,1610612752,Detroit,Pistons,1610612765,94,100,1610612765,Playoffs,19812,30,East First Round,Game 2,2
42400151,2025-04-20 21:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,85,95,1610612744,Playoffs,18055,215,West First Round,Game 1,1
42400101,2025-04-20 19:00,Cleveland,Cavaliers,1610612739,Miami,Heat,1610612748,121,100,1610612739,Playoffs,19432,1000144,East First Round,Game 1,1
42400111,2025-04-20 15:30,Boston,Celtics,1610612738,Orlando,Magic,1610612753,103,86,1610612738,Playoffs,19156,17,East First Round,Game 1,1
